,zipcode,% Foreign,% Uninsured,% Vehicle Access,% Food Stamps,% Teen Birth Rate,Urban
218,11106,19.972595092491567,12.794031820142608,58.520989713650245,43.72605242457307,21.3,1
219,11109,28.585817888799358,10.515713134568896,55.3969160479726,55.11684125705077,,1
220,11201,10.337823213066718,6.8130733754016735,62.71612602824771,43.79380962687934,7.6,1
221,11203,17.858271865121182,11.12618545837724,36.87611881428442,36.19467860906217,13.9,1
222,11204,19.76881964402763,9.544698230222355,35.742718139887536,30.63959058135431,13.1,1
223,11205,10.669820161542237,8.559061091525725,62.23592013065696,34.816368423401315,18.3,1
224,11206,11.599565247554517,11.20412552320607,65.1762682717111,34.81141456420692,25.8,1
225,11207,14.745150186056984,10.807390805460534,44.66687169737467,34.44467083462912,30.3,1
226,11208,18.070312908112626,9.855299587316512,46.202839099692355,32.012746173536016,28.8,1
227,11209,11.922385066792483,8.481023856565715,33.059616194429395,43.42396272595913,12.9,1
228,11210,15.20128589172207,6.9350478556294295,33.744326265158186,32.51406444071016,13.4,1
229,11211,9.881557360649834,8.7041334880557,61.02432674314539,38.062702572926256,26.7,1
230,11212,15.163815934034163,11.001630642195469,55.77199097806028,36.529854629983,30.5,1
231,11213,15.802182351682612,12.67842406088578,55.85118127621992,37.39798881315525,21.6,1
232,11214,22.217861503575783,12.150052328623758,38.67231286586125,34.576138147566716,10.9,1
233,11215,8.854427213606805,6.3617523047237885,49.95914443643355,41.459301079110986,11.1,1
234,11216,11.4053318045005,12.401461946395301,59.02091708114738,42.33373942955425,27.5,1
235,11217,7.985518489785362,7.114041892940263,61.330674401740396,43.23247995862426,23.9,1
236,11218,17.081156205315978,10.982079619409067,44.78357875948237,32.9542569256057,17.8,1
237,11219,19.136539719796023,9.328362084185821,49.67645451669495,27.15319825106193,20.2,1
238,11220,35.79688335346415,19.166188147238774,59.732564475118046,28.66265370374037,30.3,1
239,11221,13.60401742151986,14.347764000285599,57.37814675950722,35.18813813456457,28.1,1
240,11222,13.620955315870571,13.08026334220479,57.97689390598818,47.78820563104078,13.5,1
241,11223,18.551360842844602,10.348676784146496,31.77897160399079,34.33212090806472,20.9,1
242,11224,8.99088481723598,7.978086732345088,37.19147830605353,41.794033698554465,25.8,1
243,11225,15.431924804800822,12.27724085340583,61.38004538265832,38.925451320391886,14.5,1
244,11226,20.81012310019944,14.323047147474627,58.610012041974876,35.75996934775561,24.4,1
245,11228,14.721427952517116,6.8061693094185935,20.976188123703192,33.06689195043757,8.7,1
246,11229,13.351183153629062,6.7141857828593485,27.419626798561158,37.41708276045059,10.3,1
247,11230,15.760179011165713,10.118853518941226,36.32708159806991,34.48438712289026,15.8,1
